Title:,Animals and Livestock - Animal Totals from the Agricultural Census Database,,,
SubTitle:,"Commodity: ANIMAL TOTALS - Indicator: ANIMAL TOTALS, ANIMALS ONLY, ORGANIC - OPERATIONS WITH SALES - Domain Category: ORGANIC STATUS: (NOP USDA CERTIFIED)",,,
Time:,1997 - 2019,,,
Unit of Measure:,OPERATIONS,OPERATIONS,OPERATIONS,OPERATIONS
Citation:,"National Agricultural Statistics Service, United States Department of Agriculture  (2021-10-29). Animals and Livestock - Animal Totals: Animals and Livestock - Animal Totals | 2019 | 2016 | 2015 | 2011 | ANIMAL TOTALS | ANIMAL TOTALS, ANIMALS ONLY, ORGANIC - OPERATIONS WITH SALES | ORGANIC STATUS: (NOP USDA CERTIFIED), 1997 - 2019. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  008-008-001 doi:https://doi.org/10.6068/DP17D250DB38D86",,,
ColumnCount:,7,,,
RowCount:,50,,,
,,,,
State,2019 (OPERATIONS),2016 (OPERATIONS),2015 (OPERATIONS),2011 (OPERATIONS)
Wisconsin,658,588,523,493
New York,626,516,425,273
Pennsylvania,563,420,347,277
Indiana,300,257,206,95
Ohio,256,234,204,155
California,248,195,178,132
Iowa,200,160,148,130
Vermont,189,195,222,205
Minnesota,172,154,137,147
Maine,116,105,108,66
Michigan,111,94,78,63
North Carolina,104,31,30,10
Washington,86,73,56,50
Kentucky,69,30,33,17
Oregon,62,75,70,60
Missouri,59,81,53,17
Virginia,40,41,31,19
Maryland,39,25,23,15
Idaho,39,33,28,32
Illinois,36,40,37,26
Nebraska,31,9,23,24
Massachusetts,25,22,19,13
New Hampshire,24,20,23,20
Montana,23,23,32,23
Mississippi,20,7,5,1
Texas,19,20,12,18
Colorado,18,16,20,10
West Virginia,15,3,4,1
Arkansas,15,10,7,1
South Dakota,14,16,13,24
Louisiana,9,12,2,3
Kansas,9,3,5,12
New Mexico,9,10,14,15
Oklahoma,9,5,2,1
Florida,8,2,4,
Georgia,6,3,4,2
Connecticut,6,3,6,1
Utah,5,6,4,6
Delaware,5,1,1,3
Wyoming,4,11,10,13
Tennessee,4,4,4,2
South Carolina,4,2,6,1
North Dakota,4,5,6,7
Alabama,3,3,1,1
New Jersey,3,4,2,1
Nevada,2,1,1,3
Alaska,,1,1,
Arizona,3,3,4,1
Rhode Island,1,2,,
Hawaii,,3,3,2
,,,,
,,,,
,,,,
Publisher:," ""United States Department of Agriculture """,,,
Copyright:," ""The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version.""",,,
